EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,0.220893233,-47.5,6.5
300833B2DDD901400000000D,1.681242944,-40,-1.625
300833B2DDD901400000000C,1.718058482,-42,-6.5
300833B2DDD9014000000000,4.301282129,-55,17.0625
300833B2DDD9014000000000,3.276582963,-37,4.875
300833B2DDD9014000000006,3.393165503,-40,7.3125
300833B2DDD901400000002D,5.890486225,-37,-3.25
300833B2DDD901400000001A,1.380582709,-35.5,3.25
300833B2DDD9014000000000,5.95798138,-34.5,1.625
300833B2DDD9014000000000,1.742602175,-59.5,-12.1875
300833B2DDD9014000000002,2.423689645,-32.5,0
300833B2DDD9014000000001,1.951223562,-37.5,-3.25
300833B2DDD901400000001D,3.202951885,-33,3.25
300833B2DDD9014000000016,2.405281875,-46,-1.625
300833B2DDD9014000000000,2.730485802,-41,3.25
300833B2DDD9014000000000,0.042951462,-47,-1.625
300833B2DDD9014000000000,5.951845457,-57,7.3125
300833B2DDD9014000000000,1.828505099,-42.5,-4.875
300833B2DDD9014000000000,4.49763167,-36,6.5
300833B2DDD9014000000008,3.337942194,-36.5,3.25
300833B2DDD9014000000003,1.767145868,-53,-7.3125
300833B2DDD9014000000000,1.846912869,-42.5,0
300833B2DDD9014000000000,0.871301088,-55,-3.25
300833B2DDD9014000000000,3.540427658,-46,8.125
300833B2DDD9014000000000,0.165669925,-47,3.25
300833B2DDD9014000000031,0.944932165,-55,0
300833B2DDD9014000000000,3.466796581,-45,12.1875
300833B2DDD9014000000000,1.165825399,-55,4.875
300833B2DDD9014000000015,2.945243113,-58,36.5625
300833B2DDD9014000000004,3.36862181,-57.5,20.3125
300833B2DDD9014000000012,2.577087724,-50.5,1.625
300833B2DDD9014000000000,0.951068088,-62,-9.75
300833B2DDD9014000000019,2.58935957,-46,3.25
300833B2DDD901400000000B,0.092038847,-56,3.25
300833B2DDD901400000000F,3.546563582,-52,25.1875
300833B2DDD9014000000011,1.877592484,-57.5,-8.9375
300833B2DDD9014000000001,2.135301257,-55,-13.8125
300833B2DDD9014000000000,1.47875748,-61.5,-52.0625
300833B2DDD9014000000000,3.614058736,-55,15.4375
300833B2DDD9014000000000,2.828660573,-53,11.375
300833B2DDD9014000000000,1.306951631,-50.5,0
300833B2DDD9014000000013,2.37460226,-41.5,1.625
300833B2DDD9014000000008,3.337942194,-36,8.125
300833B2DDD9014000000029,1.938951716,-33.5,0
300833B2DDD9014000000000,5.970253226,-35,-1.625
300833B2DDD901400000000C,1.705786636,-42,-3.25
300833B2DDD9014000000000,0.889708857,-62,11.375
300833B2DDD9014000000002,2.429825568,-32.5,-1.625
300833B2DDD9014000000001,1.951223562,-37.5,-3.25
300833B2DDD9014000000000,0.165669925,-47,-1.625
300833B2DDD9014000000000,1.828505099,-43,3.25
300833B2DDD9014000000000,1.69351479,-59,3.25
300833B2DDD901400000001A,1.374446786,-35.5,4.875
300833B2DDD9014000000000,1.043106936,-42.5,1.625
300833B2DDD9014000000019,2.601631416,-45.5,7.3125
300833B2DDD9014000000031,0.926524396,-54.5,4.875
300833B2DDD9014000000000,0.91425255,-55,-11.375
300833B2DDD9014000000000,0.128854386,-33,0
300833B2DDD9014000000000,3.472932504,-45,12.1875
300833B2DDD901400000002D,5.878214379,-37,1.625
300833B2DDD9014000000000,1.853048792,-42.5,-3.25
300833B2DDD9014000000006,3.393165503,-39.5,6.5
300833B2DDD9014000000000,3.534291735,-46.5,13.8125
300833B2DDD9014000000000,2.509592569,-29,-4.875
300833B2DDD901400000001D,3.227495578,-32.5,-4.875
300833B2DDD9014000000000,0.073631078,-47,-11.375
300833B2DDD9014000000000,0.208621387,-48,6.5
300833B2DDD9014000000000,2.730485802,-41.5,3.25
300833B2DDD9014000000000,1.313087554,-50.5,6.5
300833B2DDD9014000000000,4.485359824,-36,8.125
300833B2DDD9014000000018,2.528000338,-32,-1.625
300833B2DDD9014000000000,3.276582963,-37,4.875
300833B2DDD901400000000D,1.699650713,-39.5,-7.3125
300833B2DDD9014000000000,3.607922813,-55,17.0625
300833B2DDD9014000000011,1.846912869,-57.5,0
300833B2DDD901400000002E,3.374757733,-55,13.8125
300833B2DDD9014000000004,3.405437349,-57,9.75
300833B2DDD901400000000B,0.11658254,-56,-15.4375
300833B2DDD9014000000000,5.988660996,-56.5,-1.625
300833B2DDD9014000000000,4.26446659,-55,27.625
300833B2DDD9014000000000,1.533980788,-61.5,-56.9375
300833B2DDD9014000000015,2.975922728,-58,26
300833B2DDD901400000000F,3.571107274,-52,18.6875
300833B2DDD9014000000000,1.221048707,-55,1.625
300833B2DDD9014000000016,2.405281875,-46,-1.625
300833B2DDD9014000000000,2.80411688,-53,17.0625
300833B2DDD9014000000003,1.767145868,-53,-7.3125
300833B2DDD9014000000012,2.583223647,-50.5,0
300833B2DDD9014000000001,2.104621641,-54.5,0
300833B2DDD9014000000000,1.036971013,-42.5,3.25
300833B2DDD9014000000000,2.724349879,-41,7.3125
300833B2DDD9014000000018,2.534136262,-32.5,-1.625
300833B2DDD9014000000000,3.276582963,-37,3.25
300833B2DDD9014000000000,0.024543693,-47,1.625
300833B2DDD9014000000012,2.5709518,-50.5,1.625
300833B2DDD9014000000000,3.552699505,-46.5,8.125
300833B2DDD9014000000000,0.159534002,-47,7.3125
300833B2DDD9014000000001,1.951223562,-37.5,-3.25
300833B2DDD9014000000000,3.626330583,-55,12.1875
300833B2DDD9014000000000,5.97638915,-57,4.875
300833B2DDD9014000000006,3.38702958,-40,7.3125
300833B2DDD9014000000000,4.49763167,-36,3.25
300833B2DDD9014000000000,3.479068427,-45.5,10.5625
300833B2DDD9014000000000,2.503456646,-29,-1.625
300833B2DDD901400000001A,1.386718632,-35.5,0
300833B2DDD9014000000000,0.202485464,-48,6.5
300833B2DDD9014000000000,1.319223478,-51,1.625
300833B2DDD901400000002D,5.872078456,-37,3.25
300833B2DDD901400000000D,1.69351479,-39.5,-1.625
300833B2DDD9014000000000,0.141126232,-33,-3.25
300833B2DDD901400000001D,3.209087808,-33,0
300833B2DDD9014000000015,3.03728196,-58.5,-3.25
300833B2DDD9014000000002,2.435961491,-32.5,-3.25
300833B2DDD9014000000008,3.337942194,-36.5,4.875
300833B2DDD9014000000019,2.601631416,-45.5,1.625
300833B2DDD9014000000000,1.865320638,-42.5,-4.875
